Sno,District,State,Category,District_level_Infected,Deaths,Total number of Primary Health Centres,Total number of Community Health Centres,Total number of Subdivisional Hospitals,Total number of Divisional Hospitals
253,East District,Sikkim,Green,0,0,7,1,0,1
254,Upper Subansiri,Arunachal Pradesh,Green,0,0,15,5,0,1
255,Anjaw,Arunachal Pradesh,Green,0,0,7,5,0,1
256,Changlang,Arunachal Pradesh,Green,0,0,7,5,0,1
257,Tawang,Arunachal Pradesh,Green,0,0,0,2,0,1
258,Papum Pare,Arunachal Pradesh,Green,0,0,8,4,0,1
259,Tirap,Arunachal Pradesh,Green,0,0,3,3,0,0
260,East Siang,Arunachal Pradesh,Green,0,0,1,2,0,1
261,Lohit,Arunachal Pradesh,Green,1,0,4,2,0,1
262,Kurung Kumey,Arunachal Pradesh,Green,0,0,3,2,0,1
263,Lower Subansiri,Arunachal Pradesh,Green,0,0,8,2,,1
264,East Kameng,Arunachal Pradesh,Green,0,0,5,3,0,1
265,West Kameng,Arunachal Pradesh,Green,0,0,5,5,0,1
266,Kra Daadi,Arunachal Pradesh,Green,0,0,,,,
267,Namsai,Arunachal Pradesh,Green,0,0,7,1,0,0
268,Longding,Arunachal Pradesh,Green,0,0,,,,
269,Upper Siang,Arunachal Pradesh,Green,0,0,1,4,0,1
270,West Siang,Arunachal Pradesh,Green,0,0,8,3,0,1
271,Upper Dibang Valley,Arunachal Pradesh,Green,0,0,1,1,0,1
272,Lower Dibang Valley,Arunachal Pradesh,Green,0,0,3,4,,1
273,Siang,Arunachal Pradesh,Green,0,0,8,3,0,0
274,Mon,Nagaland,Green,0,0,15,2,0,1
275,Longleng,Nagaland,Green,0,0,3,0,0,1
276,Mokokchung,Nagaland,Green,0,0,15,3,0,1
277,Tuensang,Nagaland,Green,0,0,1,5,2,1
278,Kiphire,Nagaland,Green,0,0,2,1,0,1
279,Peren,Nagaland,Green,0,0,8,1,0,1
280,Wokha,Nagaland,Green,0,0,12,2,0,1
281,Zunheboto,Nagaland,Green,0,0,13,2,0,1
282,Phek,Nagaland,Green,0,0,23,3,0,1
283,Kohima,Nagaland,Green,1,0,14,3,0,1
284,Dimapur,Nagaland,Green,0,0,8,2,0,1
285,Kamjong,Manipur,Green,0,0,,,,
286,Senapati,Manipur,Green,0,0,6,1,0,0
287,Tamenglong,Manipur,Green,0,0,4,1,0,1
288,Imphal West,Manipur,Green,5,0,11,3,0,0
289,Kakching,Manipur,Green,0,0,,,,
290,Bishnupur,Manipur,Green,0,0,8,2,0,1
291,Chandel,Manipur,Green,0,0,4,1,1,0
292,Churachandpur,Manipur,Green,11,0,5,1,0,0
293,Imphal East,Manipur,Green,3,0,2,1,0,1
294,Jiribam,Manipur,Green,0,0,,,,
295,Kangpokpi,Manipur,Green,0,0,,,,
296,Thoubal,Manipur,Green,0,0,6,1,0,0
297,Tengnoupal,Manipur,Green,0,0,,,,
298,Ukhrul,Manipur,Green,0,0,2,1,0,0
299,Noney,Manipur,Green,0,0,,,,
300,Pherzawl,Manipur,Green,0,0,,,,
301,Kolasib,Mizoram,Green,0,0,5,1,0,1
302,Aizawl,Mizoram,Green,1,0,9,0,1,1
303,Mamit,Mizoram,Green,0,0,6,1,0,1
